Name,Platform,Year_of_Release,Publisher
Angry Birds Trilogy,3DS,2012,Activision
XCOM: Enemy Unknown,X360,2012,Take-Two Interactive
LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Disney Interactive Studios
Red Steel 2,Wii,2010,Ubisoft
Prince of Persia: The Forgotten Sands,X360,2010,Ubisoft
Warriors Orochi 3,PS3,2011,Ubisoft Annecy
DJ Hero 2,Wii,2010,Activision
Tiger Woods PGA Tour 12: The Masters,X360,2011,Electronic Arts
NieR,PS3,2010,Square Enix
2014 FIFA World Cup Brazil,PS3,2014,Electronic Arts
Cooking Mama 4: Kitchen Magic!,3DS,2011,505 Games
Scribblenauts: Unlimited,3DS,2012,Warner Bros. Interactive Entertainment
Disney Universe,PS3,2011,Disney Interactive Studios
Vanquish,PS3,2010,Sega
Tearaway,PSV,2013,Sony Computer Entertainment Europe
pro evolution soccer 2011,X360,2010,Konami Digital Entertainment
Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Namco Bandai Games
Pac-Man Party,Wii,2010,Namco Bandai Games
Aliens: Colonial Marines,PS3,2013,Sega
Yakuza: Dead Souls,PS3,2011,Sega
